# Format: Condition | Age Group Probabilities | Gender
# Age groups: N (Neonates), I (Infants), T (Toddlers and Preschoolers), S (School-Age Children), A (Adolescents), D (Adults), E (Elderly)
# Probabilities: 0 (Never), 1 (Rare), 2 (Uncommon), 3 (Common), 4 (Very Common)
# Gender specificity: M (Male only), F (Female only), B (Both)

Common Cold | N2,I4,T4,S4,A3,D3,E3 | B
Influenza | N2,I3,T3,S3,A3,D3,E4 | B
Hypertension | N0,I0,T0,S1,A2,D4,E4 | B
Type 2 Diabetes | N0,I0,T0,S1,A2,D4,E4 | B
Asthma | N1,I2,T4,S4,A3,D3,E2 | B
Allergic Rhinitis | N0,I1,T3,S4,A3,D3,E2 | B
Atopic Dermatitis | N3,I4,T3,S2,A2,D1,E1 | B
Gastroesophageal Reflux Disease (GERD) | N2,I3,T2,S2,A2,D3,E3 | B
Osteoarthritis | N0,I0,T0,S0,A1,D3,E4 | B
Alzheimer's Disease | N0,I0,T0,S0,A0,D1,E4 | B
Depression | N0,I0,T1,S2,A4,D4,E3 | B
Anxiety Disorders | N0,I0,T1,S3,A4,D4,E3 | B
Obesity | N0,I1,T2,S3,A3,D4,E3 | B
Coronary Artery Disease | N0,I0,T0,S0,A1,D3,E4 | B
Stroke | N1,I0,T0,S0,A1,D3,E4 | B
Chronic Obstructive Pulmonary Disease (COPD) | N0,I0,T0,S0,A1,D3,E4 | B
Urinary Tract Infection | N1,I2,T3,S3,A3,D3,E4 | B
Osteoporosis | N0,I0,T0,S0,A1,D2,E4 | B
Hypothyroidism | N1,I1,T1,S2,A2,D3,E3 | B
Psoriasis | N0,I1,T2,S2,A3,D3,E2 | B
Rheumatoid Arthritis | N0,I0,T1,S1,A2,D3,E3 | B
Migraine | N0,I0,T1,S3,A4,D4,E2 | B
Epilepsy | N1,I2,T2,S3,A3,D2,E2 | B
Parkinson's Disease | N0,I0,T0,S0,A0,D2,E4 | B
Chronic Kidney Disease | N1,I1,T1,S1,A2,D3,E4 | B
Hepatitis B | N1,I1,T1,S2,A2,D3,E2 | B
Hepatitis C | N0,I0,T0,S1,A2,D3,E3 | B
HIV/AIDS | N1,I1,T1,S1,A2,D3,E2 | B
Tuberculosis | N1,I2,T2,S2,A2,D3,E3 | B
Malaria | N1,I2,T2,S2,A2,D2,E2 | B
Dengue Fever | N1,I2,T2,S2,A2,D2,E2 | B
Zika Virus | N1,I2,T2,S2,A2,D2,E1 | B
Lyme Disease | N0,I1,T2,S3,A3,D3,E2 | B
Celiac Disease | N0,I1,T2,S3,A3,D3,E2 | B
Crohn's Disease | N0,I0,T1,S2,A3,D3,E2 | B
Ulcerative Colitis | N0,I0,T1,S2,A3,D3,E2 | B
Irritable Bowel Syndrome (IBS) | N0,I0,T1,S2,A3,D4,E3 | B
Gastritis | N1,I1,T2,S2,A3,D4,E3 | B
Peptic Ulcer Disease | N0,I0,T1,S2,A3,D4,E3 | B
Gallstones | N0,I0,T0,S1,A2,D3,E3 | B
Appendicitis | N0,I1,T2,S3,A3,D2,E1 | B
